Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
332755,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
332999,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
333249,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
333406,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
333633,00000545,false,Rx,0,8,00,29,0B,00,7E,10,00,18,
342761,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
343005,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
343255,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
343402,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
343639,00000545,false,Rx,0,8,00,2A,0B,00,7E,10,00,18,
352756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
0,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
250,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
407,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
645,00000545,false,Rx,0,8,00,2B,0B,00,7E,10,00,18,
9762,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
10006,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
10256,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
10506,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
10754,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
10911,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
11148,00000545,false,Rx,0,8,00,2C,0B,00,7E,10,00,18,
19764,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
19998,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
20248,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
20405,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
20642,00000545,false,Rx,0,8,00,2D,0B,00,7E,10,00,18,
29758,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
30003,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
30252,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
30399,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
30647,00000545,false,Rx,0,8,00,2E,0B,00,7E,10,00,18,
39764,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
39999,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
40248,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
40405,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
40642,00000545,false,Rx,0,8,00,2F,0B,00,7E,10,00,18,
49758,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
50004,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
50252,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
50399,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
50647,00000545,false,Rx,0,8,00,30,0B,00,7E,10,00,18,
59764,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
60000,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
60248,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
60405,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
60643,00000545,false,Rx,0,8,00,31,0B,00,7E,10,00,18,
64401,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
64646,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
64895,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
69766,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
70001,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
70250,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
70407,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
70645,00000545,false,Rx,0,8,00,32,0B,00,7E,10,00,18,
79762,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
79997,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
80256,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
80403,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
80640,00000545,false,Rx,0,8,00,33,0B,00,7E,10,00,18,
89767,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
90002,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
90250,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
90408,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
90645,00000545,false,Rx,0,8,00,34,0B,00,7E,10,00,18,
99762,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
99997,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
100256,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
100403,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
100640,00000545,false,Rx,0,8,00,35,0B,00,7E,10,00,18,
109765,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
110001,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
110249,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
110406,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
110644,00000545,false,Rx,0,8,00,36,0B,00,7E,10,00,18,
119760,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
120005,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
120254,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
120504,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
120753,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
120909,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
121146,00000545,false,Rx,0,8,00,37,0B,00,7E,10,00,18,
129762,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
130007,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
130256,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
130402,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
130651,00000545,false,Rx,0,8,00,38,0B,00,7E,10,00,18,
139765,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
140001,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
140249,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
140406,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
140645,00000545,false,Rx,0,8,00,39,0B,00,7E,10,00,18,
149770,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
150005,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
150254,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
150411,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
150639,00000545,false,Rx,0,8,00,3A,0B,00,7E,10,00,18,
159764,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
160000,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
160259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
160406,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
160644,00000545,false,Rx,0,8,00,3B,0B,00,7E,10,00,18,
164401,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
164646,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
164895,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
169765,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
170011,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
170259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
170406,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
170655,00000545,false,Rx,0,8,00,3C,0B,00,7E,10,00,18,
179770,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
180005,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
180264,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
180411,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
180649,00000545,false,Rx,0,8,00,3D,0B,00,7E,10,00,18,
189766,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
190010,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
190259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
190416,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
190654,00000545,false,Rx,0,8,00,3E,0B,00,7E,10,00,18,
199771,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
200015,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
200263,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
200410,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
200649,00000545,false,Rx,0,8,00,3F,0B,00,7E,10,00,18,
209774,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
210008,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
210257,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
210414,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
210652,00000545,false,Rx,0,8,00,40,0B,00,7E,10,00,18,
219768,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
220012,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
220261,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
220418,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
220656,00000545,false,Rx,0,8,00,41,0B,00,7E,10,00,18,
229772,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
230016,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
230265,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
230516,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
230764,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
230920,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
231158,00000545,false,Rx,0,8,00,42,0B,00,7E,10,00,18,
239773,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
240007,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
240266,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
240413,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
240651,00000545,false,Rx,0,8,00,43,0B,00,7E,10,00,18,
249767,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
250011,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
250260,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
250407,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
250656,00000545,false,Rx,0,8,00,44,0B,00,7E,10,00,18,
259773,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
260017,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
260266,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
260414,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
260651,00000545,false,Rx,0,8,00,45,0B,00,7E,10,00,18,
264409,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
264653,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
264902,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
269776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
270010,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
270258,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
270416,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
270654,00000545,false,Rx,0,8,00,46,0B,00,7E,10,00,18,
279772,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
280016,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
280265,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
280413,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
280650,00000545,false,Rx,0,8,00,47,0B,00,7E,10,00,18,
289776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
290010,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
290259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
290417,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
290654,00000545,false,Rx,0,8,00,48,0B,00,7E,10,00,18,
299771,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
300015,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
300264,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
300412,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
300659,00000545,false,Rx,0,8,00,49,0B,00,7E,10,00,18,
309776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
310010,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
310259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
310417,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
310654,00000545,false,Rx,0,8,00,4A,0B,00,7E,10,00,18,
319771,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
320016,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
320264,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
320412,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
320649,00000545,false,Rx,0,8,00,4B,0B,00,7E,10,00,18,
329776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
330010,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
330259,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
330417,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
330654,00000545,false,Rx,0,8,00,4C,0B,00,7E,10,00,18,
339771,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
340015,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
340264,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
340514,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
340763,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
340919,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
341157,00000545,false,Rx,0,8,00,4D,0B,00,7E,10,00,18,
349773,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
350017,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
350266,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
350414,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
350651,00000545,false,Rx,0,8,00,4E,0B,00,7E,10,00,18,
359777,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
360011,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
360261,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
360418,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
360655,00000545,false,Rx,0,8,00,4F,0B,00,7E,10,00,18,
364413,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
364657,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
364907,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
369777,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
370011,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
370261,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
370418,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
370656,00000545,false,Rx,0,8,00,50,0B,00,7E,10,00,18,
379782,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
380016,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
380265,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
380412,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
380659,00000545,false,Rx,0,8,00,51,0B,00,7E,10,00,18,
389776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
390021,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
390270,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
390417,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
390665,00000545,false,Rx,0,8,00,52,0B,00,7E,10,00,18,
399781,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
400016,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
400265,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
400422,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
400660,00000545,false,Rx,0,8,00,53,0B,00,7E,10,00,18,
409777,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
410021,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
410271,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
410428,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
410665,00000545,false,Rx,0,8,00,54,0B,00,7E,10,00,18,
419781,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
420025,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
420275,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
420422,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
420659,00000545,false,Rx,0,8,00,55,0B,00,7E,10,00,18,
429776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
430020,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
430270,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
430428,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
430665,00000545,false,Rx,0,8,00,56,0B,00,7E,10,00,18,
439781,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
440025,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
440275,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
440422,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
440660,00000545,false,Rx,0,8,00,57,0B,00,7E,10,00,18,
449776,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
450020,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
450270,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
450530,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
450778,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
450925,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
451162,00000545,false,Rx,0,8,00,58,0B,00,7E,10,00,18,
459778,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
460022,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
460272,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
460419,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
460656,00000545,false,Rx,0,8,00,59,0B,00,7E,10,00,18,
464414,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
464659,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
464909,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
469779,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
470024,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
470274,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
470421,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
470668,00000545,false,Rx,0,8,00,5A,0B,00,7E,10,00,18,
479783,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
480017,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
480277,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
480424,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
480661,00000545,false,Rx,0,8,00,5B,0B,00,7E,10,00,18,
489787,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
490021,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
490270,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
490428,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
490665,00000545,false,Rx,0,8,00,5C,0B,00,7E,10,00,18,
499781,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
500025,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
500275,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
500422,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
500660,00000545,false,Rx,0,8,00,5D,0B,00,7E,10,00,18,
509787,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
510023,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
510271,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
510428,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
510666,00000545,false,Rx,0,8,00,5E,0B,00,7E,10,00,18,
519781,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
520027,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
520275,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
520423,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
520670,00000545,false,Rx,0,8,00,5F,0B,00,7E,10,00,18,
529786,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
530021,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
530280,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
530426,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
