Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
35962173,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35972148,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35972383,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
35972631,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
35972869,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
35973118,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
35973368,00000620,false,Rx,1,8,25,77,00,00,00,00,0A,0B,
35973605,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
35982264,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35992292,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36002619,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36012150,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36022643,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36032661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36042669,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36052645,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36062176,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36072151,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36072386,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36072634,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36072873,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36073122,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36073371,00000620,false,Rx,1,8,2C,77,00,00,00,00,0A,0B,
36073600,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36082267,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36092288,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36102617,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36112147,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36122643,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36132662,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36142669,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36152646,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36162176,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36172151,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36172386,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36172636,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
