Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
116040371,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
116040609,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,72,
116040850,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
116041088,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
116138652,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
116138908,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
116139157,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
116139395,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
116139643,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
116139884,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
116140132,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
116140380,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
116140608,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,72,
116140859,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
116141097,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
116238652,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
116238897,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
116239136,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
116239384,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
116239633,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
116239873,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
116240111,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
116240359,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
116240588,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,0C,
116240828,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
116241066,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
145202046,00000670,false,Rx,1,8,78,1E,00,1D,80,1A,22,00,
145202301,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145202540,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145202789,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145203037,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145203287,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145203524,0000054A,false,Rx,1,8,00,00,00,00,00,00,00,00,
145203774,00000588,false,Rx,1,8,14,0D,00,00,00,18,00,00,
145204032,00000597,false,Rx,1,8,81,00,00,00,00,00,00,00,
145204262,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,00,
145204500,000005AE,false,Rx,1,8,4A,00,18,06,0B,00,00,00,
145204749,000005F1,false,Rx,1,8,9C,13,14,0D,00,00,00,00,
145302051,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
145302295,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145302545,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145302794,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145303042,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145303281,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145303529,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145303768,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
145304007,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,00,
145304256,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
