Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
142687743,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
142688032,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142688191,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142696971,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
142697194,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142697395,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142707006,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
142707194,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142707448,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142717515,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
142717712,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142717913,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142727007,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
142727195,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142727288,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142737726,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
142737932,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142738113,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142747788,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
142747988,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142748249,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142756988,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
142757184,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142757474,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142766932,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
142767126,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142767388,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142776957,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
142777177,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142777432,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142777730,00000523,false,Tx,0,8,00,00,00,00,00,00,00,03,
142787871,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
142788067,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142788336,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142797549,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
142797750,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142798020,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142807493,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
142807708,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142807972,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142817908,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
142818083,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142818293,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142826951,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
142827130,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142827364,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142837900,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
142838151,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142838313,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142847999,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
142848202,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142848446,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142857018,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
142857201,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142857304,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142867550,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
142867920,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142868146,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142877488,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
142877679,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142877968,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142878176,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
142893871,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
142894092,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142894303,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142910310,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
142910521,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142910765,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142917507,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
142917680,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142917933,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142927265,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
142927795,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142927864,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142937823,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
142938044,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142938227,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142947287,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
142947470,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142947629,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142957067,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
142957537,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142957737,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142967695,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
142967946,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142968252,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142977953,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
142978135,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142978228,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142988048,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
